ID,XB_g__Desulfovibrio,XB_p__Bacteroidetes,XB_g__Methanobrevibacter,XB_g__Shuttleworthia,Week
C123_1,0,43.20428944,0.092408631,0,1
C123_2,0,40.05161574,0.148257969,0,2
C123_3,0,47.49099439,0.168664538,0,3
C123_4,0,43.10596995,0.130802546,0,4
C123_5,0,45.324479,0.163452883,0,5
C123_6,0.013334044,43.63806149,0.141567864,0,6
C123_7,0.023641904,44.56236209,0.239045918,0.021215336,7
C123_8,0,47.54332314,0.474006116,0,8
C123_9,0,46.85978212,0.27489766,0,9
C123_10,0,42.7965339,0.305983389,0.033300957,10
C123_11,0,50.81845016,0.244491488,0,11